Country,Year,Subject Area,Number of Documents
Afghanistan,2023,MEDI,1
Albania,2023,MEDI,3
Algeria,2023,MEDI,1
Algeria,2023,PSYC,1
Argentina,2023,AGRI,1
Argentina,2023,MEDI,16
Argentina,2023,MULT,1
Argentina,2023,NEUR,1
Argentina,2023,PSYC,2
Argentina,2023,SOCI,1
Armenia,2023,ENGI,5
Armenia,2023,MEDI,4
Armenia,2023,PHYS,25
Australia,2023,AGRI,6
Australia,2023,BIOC,10
Australia,2023,BUSI,6
Australia,2023,CENG,2
Australia,2023,CHEM,5
Australia,2023,COMP,1
Australia,2023,DENT,2
Australia,2023,EART,2
Australia,2023,ECON,6
Australia,2023,ENER,2
Australia,2023,ENGI,10
Australia,2023,ENVI,4
Australia,2023,IMMU,3
Australia,2023,MATE,1
Australia,2023,MATH,2
Australia,2023,MEDI,55
Australia,2023,MULT,11
Australia,2023,NEUR,9
Australia,2023,NURS,2
Australia,2023,PHAR,2
Australia,2023,PHYS,10
Australia,2023,PSYC,7
Australia,2023,SOCI,11
Australia,2023,VETE,1
Austria,2023,AGRI,2
Austria,2023,BIOC,1
Austria,2023,CENG,1
Austria,2023,CHEM,4
Austria,2023,ENGI,5
Austria,2023,MATE,3
Austria,2023,MEDI,12
Austria,2023,MULT,4
Austria,2023,NEUR,4
Austria,2023,PHYS,25
Austria,2023,PSYC,2
Austria,2023,SOCI,3
Bahrain,2023,MEDI,2
Bahrain,2023,PSYC,1
Bangladesh,2023,AGRI,2
Bangladesh,2023,BIOC,1
Bangladesh,2023,COMP,1
Bangladesh,2023,EART,1
Bangladesh,2023,ECON,1
Bangladesh,2023,ENER,1
Bangladesh,2023,ENVI,1
Bangladesh,2023,MEDI,8
Bangladesh,2023,PSYC,2
Belarus,2023,ENGI,1
Belarus,2023,MEDI,2
Belarus,2023,PHYS,2
Belarus,2023,PSYC,1
Belgium,2023,AGRI,3
Belgium,2023,CENG,1
Belgium,2023,ENGI,5
Belgium,2023,ENVI,1
Belgium,2023,IMMU,1
Belgium,2023,MATH,1
Belgium,2023,MEDI,15
Belgium,2023,NEUR,1
Belgium,2023,PHYS,26
Belgium,2023,PSYC,4
Benin,2023,MEDI,2
Bhutan,2023,AGRI,1
Bolivia,2023,MEDI,3
Bolivia,2023,SOCI,1
Bosnia and Herzegovina,2023,MEDI,1
Botswana,2023,MEDI,1
Brazil,2023,AGRI,4
Brazil,2023,BIOC,1
Brazil,2023,CENG,1
Brazil,2023,DENT,1
Brazil,2023,ENER,2
Brazil,2023,ENGI,6
Brazil,2023,ENVI,2
Brazil,2023,IMMU,2
Brazil,2023,MATE,1
Brazil,2023,MEDI,34
Brazil,2023,MULT,1
Brazil,2023,NEUR,5
Brazil,2023,PHAR,1
Brazil,2023,PHYS,25
Brazil,2023,PSYC,4
Brazil,2023,SOCI,2
Brunei Darussalam,2023,AGRI,1
Brunei Darussalam,2023,MEDI,1
Bulgaria,2023,AGRI,2
Bulgaria,2023,BIOC,6
Bulgaria,2023,ENGI,5
Bulgaria,2023,IMMU,1
Bulgaria,2023,MEDI,11
Bulgaria,2023,MULT,2
Bulgaria,2023,NEUR,10
Bulgaria,2023,NURS,1
Bulgaria,2023,PHYS,25
Bulgaria,2023,PSYC,4
Bulgaria,2023,SOCI,3
Burundi,2023,MULT,1
Cambodia,2023,BIOC,1
Cambodia,2023,DENT,1
Cambodia,2023,EART,1
Cambodia,2023,ENGI,1
Cambodia,2023,MATE,1
Cambodia,2023,MEDI,4
Cambodia,2023,MULT,1
Cambodia,2023,NEUR,1
Cambodia,2023,NURS,2
Cambodia,2023,PHAR,1
Cambodia,2023,SOCI,2
Cameroon,2023,MEDI,3
Cameroon,2023,NEUR,1
Canada,2023,AGRI,8
Canada,2023,BIOC,3
Canada,2023,CENG,2
Canada,2023,CHEM,4
Canada,2023,ENER,2
Canada,2023,ENGI,4
Canada,2023,ENVI,1
Canada,2023,IMMU,1
Canada,2023,MATE,4
Canada,2023,MATH,1
Canada,2023,MEDI,46
Canada,2023,MULT,3
Canada,2023,NEUR,5
Canada,2023,NURS,1
Canada,2023,PHYS,1
Canada,2023,PSYC,6
Canada,2023,SOCI,3
Canada,2023,VETE,1
Cape Verde,2023,MEDI,1
Cape Verde,2023,PHAR,1
Chile,2023,BIOC,1
Chile,2023,CENG,1
Chile,2023,ENER,1
Chile,2023,ENVI,2
Chile,2023,IMMU,1
Chile,2023,MEDI,11
Chile,2023,MULT,1
Chile,2023,NEUR,2
Chile,2023,PHAR,1
Chile,2023,PHYS,7
Chile,2023,PSYC,4
Chile,2023,SOCI,1
China,2023,AGRI,13
China,2023,ARTS,1
China,2023,BIOC,7
China,2023,CENG,16
China,2023,CHEM,18
China,2023,COMP,4
China,2023,DENT,1
China,2023,EART,4
China,2023,ECON,2
China,2023,ENER,9
China,2023,ENGI,12
China,2023,ENVI,13
China,2023,IMMU,6
China,2023,MATE,11
China,2023,MEDI,40
China,2023,MULT,13
China,2023,NEUR,7
China,2023,NURS,1
China,2023,PHAR,3
China,2023,PHYS,30
China,2023,PSYC,8
China,2023,SOCI,4
Colombia,2023,ENGI,5
Colombia,2023,IMMU,1
Colombia,2023,MEDI,5
Colombia,2023,PHYS,25
Colombia,2023,PSYC,3
Colombia,2023,SOCI,1
Costa Rica,2023,MEDI,1
Costa Rica,2023,PHYS,1
Costa Rica,2023,PSYC,1
Cote d'Ivoire,2023,IMMU,1
Cote d'Ivoire,2023,MEDI,1
Croatia,2023,ENGI,5
Croatia,2023,MEDI,5
Croatia,2023,MULT,1
Croatia,2023,NEUR,2
Croatia,2023,PHAR,1
Croatia,2023,PHYS,25
Croatia,2023,PSYC,1
Croatia,2023,SOCI,1
Cuba,2023,MEDI,1
Cyprus,2023,ENGI,5
Cyprus,2023,MEDI,1
Cyprus,2023,PHYS,25
Cyprus,2023,PSYC,2
Cyprus,2023,SOCI,1
Czech Republic,2023,CENG,1
Czech Republic,2023,COMP,1
Czech Republic,2023,ENGI,5
Czech Republic,2023,MATE,2
Czech Republic,2023,MEDI,6
Czech Republic,2023,NEUR,1
Czech Republic,2023,PHYS,25
Czech Republic,2023,PSYC,2
Czech Republic,2023,SOCI,2
Democratic Republic Congo,2023,MEDI,3
Denmark,2023,AGRI,1
Denmark,2023,BIOC,2
Denmark,2023,BUSI,1
Denmark,2023,CENG,1
Denmark,2023,DENT,1
Denmark,2023,ENVI,1
Denmark,2023,MEDI,19
Denmark,2023,MULT,3
Denmark,2023,NEUR,3
Denmark,2023,PHYS,2
Denmark,2023,PSYC,1
Denmark,2023,SOCI,1
Denmark,2023,VETE,1
Dominican Republic,2023,MEDI,1
Ecuador,2023,AGRI,1
Ecuador,2023,CENG,1
Ecuador,2023,ENGI,5
Ecuador,2023,MATH,1
Ecuador,2023,MEDI,3
Ecuador,2023,MULT,1
Ecuador,2023,PHYS,25
Ecuador,2023,PSYC,1
Egypt,2023,AGRI,3
Egypt,2023,BIOC,2
Egypt,2023,DENT,1
Egypt,2023,EART,1
Egypt,2023,ENGI,6
Egypt,2023,IMMU,1
Egypt,2023,MEDI,6
Egypt,2023,NEUR,1
Egypt,2023,PHYS,25
Egypt,2023,PSYC,2
Estonia,2023,ENGI,5
Estonia,2023,MEDI,1
Estonia,2023,MULT,1
Estonia,2023,PHYS,25
Estonia,2023,PSYC,2
Ethiopia,2023,AGRI,1
Ethiopia,2023,BIOC,1
Ethiopia,2023,COMP,1
Ethiopia,2023,MEDI,6
Ethiopia,2023,SOCI,1
Federated States of Micronesia,2023,BIOC,1
Federated States of Micronesia,2023,COMP,1
Fiji,2023,MEDI,1
Finland,2023,AGRI,1
Finland,2023,BIOC,1
Finland,2023,ENGI,5
Finland,2023,ENVI,1
Finland,2023,MEDI,6
Finland,2023,MULT,1
Finland,2023,PHYS,25
Finland,2023,PSYC,1
France,2023,AGRI,1
France,2023,BIOC,3
France,2023,BUSI,3
France,2023,CENG,1
France,2023,CHEM,1
France,2023,COMP,2
France,2023,DENT,4
France,2023,ENGI,10
France,2023,ENVI,1
France,2023,IMMU,3
France,2023,MATE,3
France,2023,MATH,1
France,2023,MEDI,28
France,2023,MULT,4
France,2023,NEUR,4
France,2023,PHYS,30
France,2023,PSYC,5
France,2023,SOCI,2
Gabon,2023,MEDI,1
Georgia,2023,ENGI,5
Georgia,2023,MEDI,3
Georgia,2023,PHYS,25
Georgia,2023,PSYC,1
Georgia,2023,SOCI,1
Germany,2023,AGRI,21
Germany,2023,ARTS,1
Germany,2023,BIOC,8
Germany,2023,BUSI,2
Germany,2023,CENG,5
