Country,Year,Subject Area,Number of Documents,Total Documents,Percentage
Afghanistan,2020,MEDI,1,1,100.0
Albania,2020,MEDI,1,1,100.0
Algeria,2020,MEDI,1,1,100.0
Angola,2020,MEDI,1,1,100.0
Argentina,2020,BIOC,1,13,7.6923076923076925
Argentina,2020,ENVI,1,13,7.6923076923076925
Argentina,2020,MATE,1,13,7.6923076923076925
Argentina,2020,MEDI,6,13,46.15384615384615
Argentina,2020,MULT,1,13,7.6923076923076925
Argentina,2020,PHYS,1,13,7.6923076923076925
Argentina,2020,PSYC,2,13,15.384615384615385
Armenia,2020,COMP,1,95,1.0526315789473684
Armenia,2020,ENGI,14,95,14.736842105263156
Armenia,2020,MEDI,4,95,4.2105263157894735
Armenia,2020,PHYS,76,95,80.0
Australia,2020,AGRI,8,222,3.6036036036036037
Australia,2020,ARTS,2,222,0.9009009009009009
Australia,2020,BIOC,10,222,4.504504504504505
Australia,2020,BUSI,3,222,1.3513513513513513
Australia,2020,CENG,2,222,0.9009009009009009
Australia,2020,CHEM,2,222,0.9009009009009009
Australia,2020,COMP,2,222,0.9009009009009009
Australia,2020,DENT,1,222,0.45045045045045046
Australia,2020,EART,6,222,2.7027027027027026
Australia,2020,ECON,3,222,1.3513513513513513
Australia,2020,ENER,2,222,0.9009009009009009
Australia,2020,ENGI,1,222,0.45045045045045046
Australia,2020,ENVI,4,222,1.8018018018018018
Australia,2020,IMMU,7,222,3.153153153153153
Australia,2020,MATE,3,222,1.3513513513513513
Australia,2020,MATH,2,222,0.9009009009009009
Australia,2020,MEDI,74,222,33.33333333333333
Australia,2020,MULT,4,222,1.8018018018018018
Australia,2020,NEUR,18,222,8.108108108108109
Australia,2020,PHAR,7,222,3.153153153153153
Australia,2020,PHYS,49,222,22.07207207207207
Australia,2020,PSYC,10,222,4.504504504504505
Australia,2020,SOCI,1,222,0.45045045045045046
Australia,2020,VETE,1,222,0.45045045045045046
Austria,2020,BIOC,6,122,4.918032786885246
Austria,2020,CENG,1,122,0.819672131147541
Austria,2020,CHEM,5,122,4.098360655737705
Austria,2020,COMP,1,122,0.819672131147541
Austria,2020,DENT,1,122,0.819672131147541
Austria,2020,EART,2,122,1.639344262295082
Austria,2020,ENGI,16,122,13.114754098360656
Austria,2020,MEDI,7,122,5.737704918032787
Austria,2020,MULT,2,122,1.639344262295082
Austria,2020,PHAR,1,122,0.819672131147541
Austria,2020,PHYS,77,122,63.114754098360656
Austria,2020,PSYC,3,122,2.459016393442623
Azerbaijan,2020,MEDI,1,2,50.0
Azerbaijan,2020,PHYS,1,2,50.0
Bahrain,2020,MULT,1,1,100.0
Bangladesh,2020,COMP,1,15,6.666666666666667
Bangladesh,2020,ENVI,1,15,6.666666666666667
Bangladesh,2020,IMMU,1,15,6.666666666666667
Bangladesh,2020,MEDI,12,15,80.0
Belarus,2020,COMP,1,92,1.0869565217391304
Belarus,2020,ENGI,14,92,15.217391304347828
Belarus,2020,MEDI,1,92,1.0869565217391304
Belarus,2020,PHYS,76,92,82.6086956521739
Belgium,2020,AGRI,3,140,2.142857142857143
Belgium,2020,BIOC,6,140,4.285714285714286
Belgium,2020,CHEM,1,140,0.7142857142857143
Belgium,2020,COMP,1,140,0.7142857142857143
Belgium,2020,DENT,1,140,0.7142857142857143
Belgium,2020,EART,2,140,1.4285714285714286
Belgium,2020,ENGI,14,140,10.0
Belgium,2020,HEAL,1,140,0.7142857142857143
Belgium,2020,MATE,4,140,2.857142857142857
Belgium,2020,MATH,1,140,0.7142857142857143
Belgium,2020,MEDI,20,140,14.285714285714285
Belgium,2020,MULT,3,140,2.142857142857143
Belgium,2020,NEUR,1,140,0.7142857142857143
Belgium,2020,PHYS,80,140,57.14285714285714
Belgium,2020,PSYC,2,140,1.4285714285714286
Benin,2020,MEDI,1,1,100.0
Bhutan,2020,MEDI,1,1,100.0
Bolivia,2020,MEDI,3,6,50.0
Bolivia,2020,MULT,1,6,16.666666666666664
Bolivia,2020,PSYC,2,6,33.33333333333333
Bosnia and Herzegovina,2020,DENT,1,2,50.0
Bosnia and Herzegovina,2020,MEDI,1,2,50.0
Botswana,2020,BIOC,1,2,50.0
Botswana,2020,MEDI,1,2,50.0
Brazil,2020,BIOC,9,153,5.88235294117647
Brazil,2020,CHEM,2,153,1.3071895424836601
Brazil,2020,COMP,2,153,1.3071895424836601
Brazil,2020,DENT,2,153,1.3071895424836601
Brazil,2020,EART,1,153,0.6535947712418301
Brazil,2020,ENGI,14,153,9.15032679738562
Brazil,2020,ENVI,1,153,0.6535947712418301
Brazil,2020,MATE,1,153,0.6535947712418301
Brazil,2020,MEDI,25,153,16.33986928104575
Brazil,2020,MULT,2,153,1.3071895424836601
Brazil,2020,NEUR,9,153,5.88235294117647
Brazil,2020,PHYS,77,153,50.326797385620914
Brazil,2020,PSYC,6,153,3.9215686274509802
Brazil,2020,SOCI,2,153,1.3071895424836601
Brunei Darussalam,2020,ENER,1,4,25.0
Brunei Darussalam,2020,MEDI,3,4,75.0
Bulgaria,2020,BIOC,4,128,3.125
Bulgaria,2020,COMP,1,128,0.78125
