,Country,Subject Area,Year2018,Year2019,Year2020,Year2021,Year2022,Year2023,Year2024
0,Afghanistan,MEDI,,,100.0,,50.0,100.0,
1,Afghanistan,MULT,,,,,50.0,,
2,Albania,ECON,,,,,,,100.0
3,Albania,MEDI,,,100.0,,50.0,100.0,
4,Albania,MULT,,,,,50.0,,
5,Algeria,BIOC,,,,20.0,,,
6,Algeria,CENG,,,,,,,16.666666666666664
7,Algeria,CHEM,,50.0,,40.0,11.11111111111111,,16.666666666666664
8,Algeria,ENER,,,,,,,16.666666666666664
9,Algeria,ENGI,,,,,,,16.666666666666664
10,Algeria,MATE,,,,40.0,22.22222222222222,,16.666666666666664
11,Algeria,MEDI,,50.0,100.0,,33.33333333333333,50.0,
12,Algeria,MULT,,,,,11.11111111111111,,
13,Algeria,PHYS,,,,,,,16.666666666666664
14,Algeria,PSYC,,,,,22.22222222222222,50.0,
15,Angola,MEDI,,,100.0,,,,
16,Argentina,AGRI,,20.0,,,,4.545454545454546,
17,Argentina,ARTS,,,,,,,7.6923076923076925
18,Argentina,BIOC,11.11111111111111,,7.6923076923076925,13.043478260869565,6.666666666666667,,7.6923076923076925
19,Argentina,CENG,,20.0,,4.3478260869565215,,,
20,Argentina,CHEM,,,,13.043478260869565,,,
21,Argentina,EART,,,,4.3478260869565215,,,23.07692307692308
22,Argentina,ENVI,11.11111111111111,,7.6923076923076925,8.695652173913043,,,
23,Argentina,MATE,22.22222222222222,,7.6923076923076925,,,,
24,Argentina,MEDI,33.33333333333333,40.0,46.15384615384615,26.08695652173913,53.333333333333336,72.72727272727273,
25,Argentina,MULT,,,7.6923076923076925,4.3478260869565215,13.333333333333334,4.545454545454546,7.6923076923076925
26,Argentina,NEUR,11.11111111111111,,,4.3478260869565215,6.666666666666667,4.545454545454546,7.6923076923076925
27,Argentina,PHAR,,,,,,,7.6923076923076925
28,Argentina,PHYS,11.11111111111111,20.0,7.6923076923076925,,6.666666666666667,,
29,Argentina,PSYC,,,15.384615384615383,21.73913043478261,13.333333333333334,9.090909090909092,7.6923076923076925
30,Argentina,SOCI,,,,,,4.545454545454546,7.6923076923076925
31,Argentina,VETE,,,,,,,23.07692307692308
32,Armenia,BIOC,,,,,2.73972602739726,,
33,Armenia,CHEM,,,,3.488372093023256,,,
34,Armenia,COMP,,,1.0526315789473684,,,,
35,Armenia,ENGI,12.925170068027212,17.5,14.736842105263156,18.6046511627907,12.32876712328767,14.705882352941178,
36,Armenia,MATE,,,,1.162790697674419,1.36986301369863,,50.0
37,Armenia,MEDI,,3.333333333333333,4.2105263157894735,3.488372093023256,4.10958904109589,11.76470588235294,
38,Armenia,NEUR,,,,,1.36986301369863,,
39,Armenia,PHYS,87.07482993197279,79.16666666666666,80.0,73.25581395348837,78.08219178082192,73.52941176470588,50.0
40,Aruba,MEDI,,,,,100.0,,
41,Australia,AGRI,1.0752688172043012,1.5625,3.603603603603604,2.8368794326241136,2.702702702702702,3.5294117647058822,1.0526315789473684
42,Australia,ARTS,1.0752688172043012,,0.9009009009009008,,0.7722007722007722,,11.052631578947368
43,Australia,BIOC,6.451612903225806,5.208333333333334,4.504504504504505,6.73758865248227,5.791505791505792,5.88235294117647,3.1578947368421053
44,Australia,BUSI,0.5376344086021506,1.0416666666666663,1.351351351351351,1.4184397163120568,2.3166023166023164,3.5294117647058822,5.263157894736842
45,Australia,CENG,0.5376344086021506,,0.9009009009009008,0.7092198581560284,1.9305019305019304,1.1764705882352942,3.1578947368421053
46,Australia,CHEM,4.301075268817205,3.125,0.9009009009009008,2.127659574468085,1.1583011583011582,2.941176470588235,1.5789473684210529
47,Australia,COMP,,0.5208333333333333,0.9009009009009008,0.3546099290780142,1.1583011583011582,0.5882352941176471,4.736842105263158
48,Australia,DECI,,,,,0.3861003861003861,,1.0526315789473684
49,Australia,DENT,,0.5208333333333333,0.4504504504504504,0.7092198581560284,0.3861003861003861,1.1764705882352942,2.631578947368421
50,Australia,EART,3.225806451612903,0.5208333333333333,2.702702702702702,1.773049645390071,2.3166023166023164,1.1764705882352942,4.2105263157894735
51,Australia,ECON,,1.0416666666666663,1.351351351351351,2.127659574468085,1.1583011583011582,3.5294117647058822,2.1052631578947367
52,Australia,ENER,,2.083333333333333,0.9009009009009008,0.7092198581560284,2.702702702702702,1.1764705882352942,2.1052631578947367
