Country,Year,Subject Area,Number of Documents,Total Documents,Percentage
Argentina,2018,BIOC,1,9,11.11111111111111
Argentina,2018,ENVI,1,9,11.11111111111111
Argentina,2018,MATE,2,9,22.22222222222222
Argentina,2018,MEDI,3,9,33.33333333333333
Argentina,2018,NEUR,1,9,11.11111111111111
Argentina,2018,PHYS,1,9,11.11111111111111
Armenia,2018,ENGI,19,147,12.925170068027212
Armenia,2018,PHYS,128,147,87.07482993197279
Australia,2018,AGRI,2,186,1.0752688172043012
Australia,2018,ARTS,2,186,1.0752688172043012
Australia,2018,BIOC,12,186,6.451612903225806
Australia,2018,BUSI,1,186,0.5376344086021506
Australia,2018,CENG,1,186,0.5376344086021506
Australia,2018,CHEM,8,186,4.301075268817205
Australia,2018,EART,6,186,3.225806451612903
Australia,2018,ENVI,3,186,1.6129032258064515
Australia,2018,HEAL,3,186,1.6129032258064515
Australia,2018,IMMU,4,186,2.1505376344086025
Australia,2018,MATH,1,186,0.5376344086021506
Australia,2018,MEDI,37,186,19.892473118279568
Australia,2018,MULT,2,186,1.0752688172043012
Australia,2018,NEUR,21,186,11.29032258064516
Australia,2018,NURS,2,186,1.0752688172043012
Australia,2018,PHAR,12,186,6.451612903225806
Australia,2018,PHYS,67,186,36.02150537634409
Australia,2018,PSYC,1,186,0.5376344086021506
Australia,2018,SOCI,1,186,0.5376344086021506
Austria,2018,BIOC,1,173,0.5780346820809248
Austria,2018,CENG,2,173,1.1560693641618496
Austria,2018,CHEM,4,173,2.312138728323699
Austria,2018,EART,4,173,2.312138728323699
Austria,2018,ENER,2,173,1.1560693641618496
Austria,2018,ENGI,19,173,10.982658959537572
Austria,2018,ENVI,1,173,0.5780346820809248
Austria,2018,MATE,1,173,0.5780346820809248
Austria,2018,MATH,1,173,0.5780346820809248
Austria,2018,MEDI,4,173,2.312138728323699
Austria,2018,MULT,1,173,0.5780346820809248
Austria,2018,NEUR,1,173,0.5780346820809248
Austria,2018,PHAR,1,173,0.5780346820809248
Austria,2018,PHYS,127,173,73.41040462427746
Austria,2018,SOCI,4,173,2.312138728323699
Azerbaijan,2018,PHYS,1,1,100.0
Bahrain,2018,MEDI,1,2,50.0
Bahrain,2018,NEUR,1,2,50.0
Bangladesh,2018,MEDI,3,4,75.0
Bangladesh,2018,NEUR,1,4,25.0
Belarus,2018,ENGI,19,146,13.013698630136986
Belarus,2018,PHYS,127,146,86.98630136986301
Belgium,2018,AGRI,1,182,0.5494505494505495
Belgium,2018,BIOC,5,182,2.7472527472527473
Belgium,2018,DENT,3,182,1.6483516483516485
Belgium,2018,EART,1,182,0.5494505494505495
Belgium,2018,ECON,1,182,0.5494505494505495
Belgium,2018,ENER,1,182,0.5494505494505495
Belgium,2018,ENGI,19,182,10.43956043956044
Belgium,2018,HEAL,1,182,0.5494505494505495
Belgium,2018,MEDI,16,182,8.791208791208792
Belgium,2018,MULT,1,182,0.5494505494505495
Belgium,2018,NEUR,1,182,0.5494505494505495
Belgium,2018,PHYS,131,182,71.97802197802197
Belgium,2018,PSYC,1,182,0.5494505494505495
Bhutan,2018,BIOC,1,3,33.33333333333333
Bhutan,2018,MEDI,1,3,33.33333333333333
Bhutan,2018,SOCI,1,3,33.33333333333333
Bolivia,2018,MEDI,1,1,100.0
Brazil,2018,BIOC,5,199,2.512562814070352
Brazil,2018,CHEM,1,199,0.5025125628140703
Brazil,2018,DENT,1,199,0.5025125628140703
Brazil,2018,ENGI,19,199,9.547738693467336
Brazil,2018,ENVI,2,199,1.0050251256281406
Brazil,2018,HEAL,1,199,0.5025125628140703
Brazil,2018,IMMU,1,199,0.5025125628140703
Brazil,2018,MEDI,18,199,9.045226130653267
Brazil,2018,NEUR,14,199,7.035175879396985
Brazil,2018,PHAR,7,199,3.5175879396984926
Brazil,2018,PHYS,128,199,64.321608040201
Brazil,2018,PSYC,2,199,1.0050251256281406
Brunei Darussalam,2018,ENVI,1,1,100.0
Bulgaria,2018,BIOC,4,182,2.197802197802198
Bulgaria,2018,ENGI,19,182,10.43956043956044
Bulgaria,2018,MEDI,5,182,2.7472527472527473
Bulgaria,2018,NEUR,18,182,9.89010989010989
Bulgaria,2018,PHAR,8,182,4.395604395604396
Bulgaria,2018,PHYS,127,182,69.78021978021978
Bulgaria,2018,PSYC,1,182,0.5494505494505495
Cambodia,2018,ENGI,2,8,25.0
Cambodia,2018,ENVI,2,8,25.0
Cambodia,2018,MEDI,4,8,50.0
Canada,2018,AGRI,3,65,4.615384615384616
Canada,2018,BIOC,5,65,7.6923076923076925
Canada,2018,BUSI,1,65,1.5384615384615385
Canada,2018,CENG,3,65,4.615384615384616
Canada,2018,CHEM,4,65,6.153846153846154
Canada,2018,DENT,1,65,1.5384615384615385
Canada,2018,ECON,1,65,1.5384615384615385
Canada,2018,ENVI,2,65,3.076923076923077
Canada,2018,HEAL,1,65,1.5384615384615385
Canada,2018,IMMU,2,65,3.076923076923077
Canada,2018,MATE,3,65,4.615384615384616
Canada,2018,MEDI,23,65,35.38461538461539
Canada,2018,NEUR,7,65,10.76923076923077
Canada,2018,PHAR,5,65,7.6923076923076925
Canada,2018,PHYS,3,65,4.615384615384616
Canada,2018,PSYC,1,65,1.5384615384615385
