Country,Year,Subject Area,Number of Documents,Total Documents,Percentage
Afghanistan,2022,MEDI,1,2,50.0
Afghanistan,2022,MULT,1,2,50.0
Albania,2022,MEDI,1,2,50.0
Albania,2022,MULT,1,2,50.0
Algeria,2022,CHEM,1,9,11.11111111111111
Algeria,2022,MATE,2,9,22.22222222222222
Algeria,2022,MEDI,3,9,33.33333333333333
Algeria,2022,MULT,1,9,11.11111111111111
Algeria,2022,PSYC,2,9,22.22222222222222
Argentina,2022,BIOC,1,15,6.666666666666667
Argentina,2022,MEDI,8,15,53.333333333333336
Argentina,2022,MULT,2,15,13.333333333333334
Argentina,2022,NEUR,1,15,6.666666666666667
Argentina,2022,PHYS,1,15,6.666666666666667
Argentina,2022,PSYC,2,15,13.333333333333334
Armenia,2022,BIOC,2,73,2.73972602739726
Armenia,2022,ENGI,9,73,12.32876712328767
Armenia,2022,MATE,1,73,1.36986301369863
Armenia,2022,MEDI,3,73,4.10958904109589
Armenia,2022,NEUR,1,73,1.36986301369863
Armenia,2022,PHYS,57,73,78.08219178082192
Aruba,2022,MEDI,1,1,100.0
Australia,2022,AGRI,7,259,2.7027027027027026
Australia,2022,ARTS,2,259,0.7722007722007722
Australia,2022,BIOC,15,259,5.7915057915057915
Australia,2022,BUSI,6,259,2.3166023166023164
Australia,2022,CENG,5,259,1.9305019305019304
Australia,2022,CHEM,3,259,1.1583011583011582
Australia,2022,COMP,3,259,1.1583011583011582
Australia,2022,DECI,1,259,0.3861003861003861
Australia,2022,DENT,1,259,0.3861003861003861
Australia,2022,EART,6,259,2.3166023166023164
Australia,2022,ECON,3,259,1.1583011583011582
Australia,2022,ENER,7,259,2.7027027027027026
Australia,2022,ENGI,8,259,3.088803088803089
Australia,2022,ENVI,7,259,2.7027027027027026
Australia,2022,IMMU,4,259,1.5444015444015444
Australia,2022,MATE,4,259,1.5444015444015444
Australia,2022,MATH,2,259,0.7722007722007722
Australia,2022,MEDI,77,259,29.72972972972973
Australia,2022,MULT,18,259,6.94980694980695
Australia,2022,NEUR,9,259,3.474903474903475
Australia,2022,PHAR,7,259,2.7027027027027026
Australia,2022,PHYS,43,259,16.602316602316602
Australia,2022,PSYC,12,259,4.633204633204633
Australia,2022,SOCI,7,259,2.7027027027027026
Australia,2022,VETE,2,259,0.7722007722007722
Austria,2022,AGRI,2,96,2.083333333333333
Austria,2022,BIOC,3,96,3.125
Austria,2022,CHEM,5,96,5.208333333333334
Austria,2022,ENGI,8,96,8.333333333333332
Austria,2022,MATE,2,96,2.083333333333333
Austria,2022,MATH,2,96,2.083333333333333
Austria,2022,MEDI,5,96,5.208333333333334
Austria,2022,MULT,4,96,4.166666666666666
Austria,2022,NEUR,3,96,3.125
Austria,2022,PHAR,1,96,1.0416666666666665
Austria,2022,PHYS,55,96,57.291666666666664
Austria,2022,PSYC,5,96,5.208333333333334
Austria,2022,SOCI,1,96,1.0416666666666665
Azerbaijan,2022,MEDI,3,4,75.0
Azerbaijan,2022,MULT,1,4,25.0
Bahrain,2022,MEDI,3,4,75.0
Bahrain,2022,MULT,1,4,25.0
Bangladesh,2022,AGRI,6,39,15.384615384615385
Bangladesh,2022,BIOC,4,39,10.256410256410255
Bangladesh,2022,CENG,1,39,2.564102564102564
Bangladesh,2022,COMP,1,39,2.564102564102564
Bangladesh,2022,ENGI,1,39,2.564102564102564
Bangladesh,2022,ENVI,4,39,10.256410256410255
Bangladesh,2022,IMMU,3,39,7.6923076923076925
Bangladesh,2022,MEDI,9,39,23.076923076923077
