Country,Year,Subject Area,Number of Documents,Total Documents,Percentage
Afghanistan,2023,MEDI,1,1,100.0
Albania,2023,MEDI,3,3,100.0
Algeria,2023,MEDI,1,2,50.0
Algeria,2023,PSYC,1,2,50.0
Argentina,2023,AGRI,1,22,4.545454545454546
Argentina,2023,MEDI,16,22,72.72727272727273
Argentina,2023,MULT,1,22,4.545454545454546
Argentina,2023,NEUR,1,22,4.545454545454546
Argentina,2023,PSYC,2,22,9.090909090909092
Argentina,2023,SOCI,1,22,4.545454545454546
Armenia,2023,ENGI,5,34,14.705882352941178
Armenia,2023,MEDI,4,34,11.76470588235294
Armenia,2023,PHYS,25,34,73.52941176470588
Australia,2023,AGRI,6,170,3.5294117647058822
Australia,2023,BIOC,10,170,5.88235294117647
Australia,2023,BUSI,6,170,3.5294117647058822
Australia,2023,CENG,2,170,1.1764705882352942
Australia,2023,CHEM,5,170,2.941176470588235
Australia,2023,COMP,1,170,0.5882352941176471
Australia,2023,DENT,2,170,1.1764705882352942
Australia,2023,EART,2,170,1.1764705882352942
Australia,2023,ECON,6,170,3.5294117647058822
Australia,2023,ENER,2,170,1.1764705882352942
Australia,2023,ENGI,10,170,5.88235294117647
Australia,2023,ENVI,4,170,2.3529411764705883
Australia,2023,IMMU,3,170,1.7647058823529411
Australia,2023,MATE,1,170,0.5882352941176471
Australia,2023,MATH,2,170,1.1764705882352942
Australia,2023,MEDI,55,170,32.35294117647059
Australia,2023,MULT,11,170,6.470588235294119
Australia,2023,NEUR,9,170,5.294117647058823
Australia,2023,NURS,2,170,1.1764705882352942
Australia,2023,PHAR,2,170,1.1764705882352942
Australia,2023,PHYS,10,170,5.88235294117647
Australia,2023,PSYC,7,170,4.117647058823529
Australia,2023,SOCI,11,170,6.470588235294119
Australia,2023,VETE,1,170,0.5882352941176471
Austria,2023,AGRI,2,66,3.0303030303030303
Austria,2023,BIOC,1,66,1.5151515151515151
Austria,2023,CENG,1,66,1.5151515151515151
Austria,2023,CHEM,4,66,6.0606060606060606
Austria,2023,ENGI,5,66,7.575757575757576
Austria,2023,MATE,3,66,4.545454545454546
Austria,2023,MEDI,12,66,18.181818181818183
Austria,2023,MULT,4,66,6.0606060606060606
Austria,2023,NEUR,4,66,6.0606060606060606
Austria,2023,PHYS,25,66,37.878787878787875
Austria,2023,PSYC,2,66,3.0303030303030303
Austria,2023,SOCI,3,66,4.545454545454546
Bahrain,2023,MEDI,2,3,66.66666666666666
Bahrain,2023,PSYC,1,3,33.33333333333333
Bangladesh,2023,AGRI,2,18,11.11111111111111
Bangladesh,2023,BIOC,1,18,5.555555555555555
Bangladesh,2023,COMP,1,18,5.555555555555555
Bangladesh,2023,EART,1,18,5.555555555555555
Bangladesh,2023,ECON,1,18,5.555555555555555
Bangladesh,2023,ENER,1,18,5.555555555555555
Bangladesh,2023,ENVI,1,18,5.555555555555555
Bangladesh,2023,MEDI,8,18,44.44444444444444
Bangladesh,2023,PSYC,2,18,11.11111111111111
Belarus,2023,ENGI,1,6,16.666666666666664
Belarus,2023,MEDI,2,6,33.33333333333333
Belarus,2023,PHYS,2,6,33.33333333333333
Belarus,2023,PSYC,1,6,16.666666666666664
Belgium,2023,AGRI,3,58,5.172413793103448
Belgium,2023,CENG,1,58,1.7241379310344827
Belgium,2023,ENGI,5,58,8.620689655172415
Belgium,2023,ENVI,1,58,1.7241379310344827
Belgium,2023,IMMU,1,58,1.7241379310344827
Belgium,2023,MATH,1,58,1.7241379310344827
Belgium,2023,MEDI,15,58,25.862068965517242
Belgium,2023,NEUR,1,58,1.7241379310344827
Belgium,2023,PHYS,26,58,44.827586206896555
Belgium,2023,PSYC,4,58,6.896551724137931
Benin,2023,MEDI,2,2,100.0
Bhutan,2023,AGRI,1,1,100.0
Bolivia,2023,MEDI,3,4,75.0
Bolivia,2023,SOCI,1,4,25.0
Bosnia and Herzegovina,2023,MEDI,1,1,100.0
Botswana,2023,MEDI,1,1,100.0
Brazil,2023,AGRI,4,92,4.3478260869565215
Brazil,2023,BIOC,1,92,1.0869565217391304
Brazil,2023,CENG,1,92,1.0869565217391304
Brazil,2023,DENT,1,92,1.0869565217391304
Brazil,2023,ENER,2,92,2.1739130434782608
Brazil,2023,ENGI,6,92,6.521739130434782
Brazil,2023,ENVI,2,92,2.1739130434782608
Brazil,2023,IMMU,2,92,2.1739130434782608
Brazil,2023,MATE,1,92,1.0869565217391304
Brazil,2023,MEDI,34,92,36.95652173913043
Brazil,2023,MULT,1,92,1.0869565217391304
Brazil,2023,NEUR,5,92,5.434782608695652
Brazil,2023,PHAR,1,92,1.0869565217391304
Brazil,2023,PHYS,25,92,27.173913043478258
Brazil,2023,PSYC,4,92,4.3478260869565215
Brazil,2023,SOCI,2,92,2.1739130434782608
Brunei Darussalam,2023,AGRI,1,2,50.0
Brunei Darussalam,2023,MEDI,1,2,50.0
Bulgaria,2023,AGRI,2,70,2.857142857142857
Bulgaria,2023,BIOC,6,70,8.571428571428571
Bulgaria,2023,ENGI,5,70,7.142857142857142
Bulgaria,2023,IMMU,1,70,1.4285714285714286
Bulgaria,2023,MEDI,11,70,15.714285714285714
Bulgaria,2023,MULT,2,70,2.857142857142857
Bulgaria,2023,NEUR,10,70,14.285714285714285
Bulgaria,2023,NURS,1,70,1.4285714285714286
Bulgaria,2023,PHYS,25,70,35.714285714285715
Bulgaria,2023,PSYC,4,70,5.714285714285714
Bulgaria,2023,SOCI,3,70,4.285714285714286
Burundi,2023,MULT,1,1,100.0
Cambodia,2023,BIOC,1,16,6.25
Cambodia,2023,DENT,1,16,6.25
Cambodia,2023,EART,1,16,6.25
Cambodia,2023,ENGI,1,16,6.25
Cambodia,2023,MATE,1,16,6.25
Cambodia,2023,MEDI,4,16,25.0
Cambodia,2023,MULT,1,16,6.25
Cambodia,2023,NEUR,1,16,6.25
Cambodia,2023,NURS,2,16,12.5
Cambodia,2023,PHAR,1,16,6.25
Cambodia,2023,SOCI,2,16,12.5
Cameroon,2023,MEDI,3,4,75.0
Cameroon,2023,NEUR,1,4,25.0
Canada,2023,AGRI,8,96,8.333333333333332
Canada,2023,BIOC,3,96,3.125
Canada,2023,CENG,2,96,2.083333333333333
Canada,2023,CHEM,4,96,4.166666666666666
