Country,Year,Subject Area,Number of Documents,Total Documents,Percentage
Albania,2024,ECON,3,3,100.0
Algeria,2024,CENG,1,6,16.666666666666664
Algeria,2024,CHEM,1,6,16.666666666666664
Algeria,2024,ENER,1,6,16.666666666666664
Algeria,2024,ENGI,1,6,16.666666666666664
Algeria,2024,MATE,1,6,16.666666666666664
Algeria,2024,PHYS,1,6,16.666666666666664
Argentina,2024,ARTS,1,13,7.6923076923076925
Argentina,2024,BIOC,1,13,7.6923076923076925
Argentina,2024,EART,3,13,23.076923076923077
Argentina,2024,MULT,1,13,7.6923076923076925
Argentina,2024,NEUR,1,13,7.6923076923076925
Argentina,2024,PHAR,1,13,7.6923076923076925
Argentina,2024,PSYC,1,13,7.6923076923076925
Argentina,2024,SOCI,1,13,7.6923076923076925
Argentina,2024,VETE,3,13,23.076923076923077
Armenia,2024,MATE,1,2,50.0
Armenia,2024,PHYS,1,2,50.0
Australia,2024,AGRI,2,190,1.0526315789473684
Australia,2024,ARTS,21,190,11.052631578947368
Australia,2024,BIOC,6,190,3.1578947368421053
Australia,2024,BUSI,10,190,5.263157894736842
Australia,2024,CENG,6,190,3.1578947368421053
Australia,2024,CHEM,3,190,1.5789473684210527
Australia,2024,COMP,9,190,4.736842105263158
Australia,2024,DECI,2,190,1.0526315789473684
Australia,2024,DENT,5,190,2.631578947368421
Australia,2024,EART,8,190,4.2105263157894735
Australia,2024,ECON,4,190,2.1052631578947367
Australia,2024,ENER,4,190,2.1052631578947367
Australia,2024,ENGI,5,190,2.631578947368421
Australia,2024,ENVI,3,190,1.5789473684210527
Australia,2024,HEAL,15,190,7.894736842105263
Australia,2024,IMMU,1,190,0.5263157894736842
Australia,2024,MATE,4,190,2.1052631578947367
Australia,2024,MATH,4,190,2.1052631578947367
Australia,2024,MEDI,18,190,9.473684210526317
Australia,2024,MULT,4,190,2.1052631578947367
Australia,2024,NEUR,2,190,1.0526315789473684
Australia,2024,NURS,9,190,4.736842105263158
Australia,2024,PHAR,1,190,0.5263157894736842
Australia,2024,PHYS,2,190,1.0526315789473684
Australia,2024,PSYC,3,190,1.5789473684210527
Australia,2024,SOCI,30,190,15.789473684210526
Australia,2024,VETE,9,190,4.736842105263158
Austria,2024,BIOC,5,30,16.666666666666664
Austria,2024,CENG,2,30,6.666666666666667
Austria,2024,COMP,2,30,6.666666666666667
Austria,2024,EART,2,30,6.666666666666667
Austria,2024,ENER,1,30,3.3333333333333335
Austria,2024,ENGI,1,30,3.3333333333333335
Austria,2024,ENVI,1,30,3.3333333333333335
Austria,2024,HEAL,1,30,3.3333333333333335
Austria,2024,MATE,1,30,3.3333333333333335
Austria,2024,NEUR,2,30,6.666666666666667
Austria,2024,NURS,4,30,13.333333333333334
Austria,2024,PHAR,3,30,10.0
Austria,2024,PHYS,3,30,10.0
Austria,2024,PSYC,2,30,6.666666666666667
Bahrain,2024,ECON,1,1,100.0
Bangladesh,2024,BUSI,3,24,12.5
Bangladesh,2024,COMP,3,24,12.5
Bangladesh,2024,DECI,1,24,4.166666666666666
Bangladesh,2024,HEAL,1,24,4.166666666666666
Bangladesh,2024,IMMU,2,24,8.333333333333332
Bangladesh,2024,MEDI,1,24,4.166666666666666
Bangladesh,2024,MULT,6,24,25.0
Bangladesh,2024,PHAR,1,24,4.166666666666666
Bangladesh,2024,PHYS,1,24,4.166666666666666
Bangladesh,2024,PSYC,2,24,8.333333333333332
Bangladesh,2024,SOCI,3,24,12.5
Belarus,2024,ECON,1,1,100.0
Belgium,2024,CHEM,1,17,5.88235294117647
Belgium,2024,DECI,2,17,11.76470588235294
Belgium,2024,DENT,1,17,5.88235294117647
Belgium,2024,HEAL,1,17,5.88235294117647
Belgium,2024,MATH,1,17,5.88235294117647
Belgium,2024,MULT,1,17,5.88235294117647
Belgium,2024,NEUR,3,17,17.647058823529413
Belgium,2024,NURS,2,17,11.76470588235294
Belgium,2024,PHAR,2,17,11.76470588235294
Belgium,2024,PSYC,1,17,5.88235294117647
Belgium,2024,VETE,2,17,11.76470588235294
Benin,2024,EART,1,2,50.0
Benin,2024,MULT,1,2,50.0
Bhutan,2024,DENT,1,1,100.0
Bolivia,2024,EART,1,1,100.0
Brazil,2024,AGRI,3,106,2.8301886792452833
Brazil,2024,ARTS,2,106,1.8867924528301887
Brazil,2024,BIOC,2,106,1.8867924528301887
Brazil,2024,BUSI,2,106,1.8867924528301887
Brazil,2024,CENG,1,106,0.9433962264150944
Brazil,2024,COMP,4,106,3.7735849056603774
Brazil,2024,DECI,2,106,1.8867924528301887
Brazil,2024,DENT,15,106,14.150943396226415
Brazil,2024,EART,11,106,10.377358490566039
Brazil,2024,ECON,3,106,2.8301886792452833
Brazil,2024,ENER,1,106,0.9433962264150944
Brazil,2024,ENGI,1,106,0.9433962264150944
Brazil,2024,ENVI,3,106,2.8301886792452833
Brazil,2024,HEAL,10,106,9.433962264150944
Brazil,2024,MATE,2,106,1.8867924528301887
Brazil,2024,MATH,2,106,1.8867924528301887
Brazil,2024,MEDI,3,106,2.8301886792452833
Brazil,2024,MULT,6,106,5.660377358490567
Brazil,2024,NEUR,2,106,1.8867924528301887
Brazil,2024,NURS,5,106,4.716981132075472
Brazil,2024,PHAR,1,106,0.9433962264150944
Brazil,2024,PHYS,3,106,2.8301886792452833
Brazil,2024,PSYC,1,106,0.9433962264150944
Brazil,2024,SOCI,5,106,4.716981132075472
Brazil,2024,VETE,16,106,15.09433962264151
Burkina Faso,2024,BIOC,1,2,50.0
Burkina Faso,2024,VETE,1,2,50.0
Cambodia,2024,DENT,1,1,100.0
Cameroon,2024,BUSI,1,2,50.0
Cameroon,2024,NURS,1,2,50.0
Canada,2024,AGRI,2,142,1.4084507042253522
Canada,2024,ARTS,6,142,4.225352112676056
Canada,2024,BIOC,5,142,3.5211267605633805
Canada,2024,BUSI,6,142,4.225352112676056
Canada,2024,CENG,3,142,2.112676056338028
Canada,2024,CHEM,2,142,1.4084507042253522
Canada,2024,COMP,9,142,6.338028169014084
Canada,2024,DECI,6,142,4.225352112676056
Canada,2024,DENT,3,142,2.112676056338028
Canada,2024,EART,7,142,4.929577464788732
Canada,2024,ECON,3,142,2.112676056338028
Canada,2024,ENER,3,142,2.112676056338028
Canada,2024,ENGI,3,142,2.112676056338028
Canada,2024,ENVI,3,142,2.112676056338028
Canada,2024,HEAL,16,142,11.267605633802818
Canada,2024,MATE,1,142,0.7042253521126761
Canada,2024,MATH,3,142,2.112676056338028
Canada,2024,MEDI,2,142,1.4084507042253522
Canada,2024,MULT,8,142,5.633802816901409
Canada,2024,NEUR,11,142,7.746478873239436
Canada,2024,NURS,11,142,7.746478873239436
Canada,2024,PHYS,5,142,3.5211267605633805
Canada,2024,PSYC,10,142,7.042253521126761
Canada,2024,SOCI,6,142,4.225352112676056
Canada,2024,VETE,8,142,5.633802816901409
Chile,2024,AGRI,1,25,4.0
Chile,2024,BIOC,1,25,4.0
Chile,2024,CENG,1,25,4.0
Chile,2024,COMP,1,25,4.0
Chile,2024,DECI,1,25,4.0
Chile,2024,EART,3,25,12.0
Chile,2024,ECON,4,25,16.0
Chile,2024,ENVI,1,25,4.0
Chile,2024,HEAL,2,25,8.0
Chile,2024,MATE,1,25,4.0
Chile,2024,MEDI,1,25,4.0
Chile,2024,MULT,2,25,8.0
Chile,2024,NURS,2,25,8.0
Chile,2024,PHYS,1,25,4.0
Chile,2024,PSYC,1,25,4.0
Chile,2024,VETE,2,25,8.0
China,2024,AGRI,186,3384,5.49645390070922
China,2024,BIOC,73,3384,2.157210401891253
China,2024,BUSI,91,3384,2.6891252955082745
China,2024,CENG,183,3384,5.407801418439717
China,2024,CHEM,210,3384,6.205673758865248
China,2024,COMP,113,3384,3.3392434988179667
