,Country,Subject Area,Year2025_pred
1571,Slovakia,Economics,8.362866683394838
1581,Slovenia,Agricultural and Biological Sciences,21.87969219219219
1599,Somalia,Multidisciplinary,5.83695652173913
1622,South Africa,Social Sciences,17.56850299076601
1640,South Korea,Materials Science,7.10619450367551
1651,South Sudan,Environmental Science,0.9883121916842847
1660,Spain,Decision Sciences,8.063615717430665
1684,Sri Lanka,Decision Sciences,31.095853874753566
1695,Sudan,Agricultural and Biological Sciences,35.94823393423694
1703,Swaziland,Medicine,0.6166666666666667
1713,Sweden,Economics,15.703965275732596
1756,Switzerland,Veterinary,12.01214669595642
1760,Syrian Arab Republic,Dentistry,50.25739787272556
1771,Taiwan,Decision Sciences,12.205466666451676
1793,Tanzania,Medicine,26.142857142857125
1802,Thailand,Chemistry,7.215454032047399
1824,Timor-Leste,Medicine,0.5058052434456929
1827,Togo,Physics and Astronomy,61.4137749890559
1830,Trinidad and Tobago,Medicine,2.1428571428571423
1847,Tunisia,Physics and Astronomy,23.7623084780388
1858,Turkey,Dentistry,25.401059146845654
1881,Uganda,Dentistry,35.83298068972222
1896,Ukraine,Mathematics,19.387749272585367
1905,United Arab Emirates,Chemical Engineering,8.672660173949037
1939,United Kingdom,Health Professions,10.194757596023102
1978,United States,Veterinary,9.46766611101412
1981,Uruguay,Multidisciplinary,78.18576356760673
1986,Uzbekistan,Physics and Astronomy,5.714285714285714
1991,Venezuela,Social Sciences,48.7019200836616
2001,Viet Nam,Economics,18.56094912137116
2017,Yemen,Agricultural and Biological Sciences,39.53474025974021
2025,Zambia,Veterinary,78.03552640182315
2026,Zimbabwe,Medicine,10.334123690970165
